Dates,pH,Conductivity,TDS,TSS,COD,NH3-N,NO3-N,FOG,Calcium Hardness,Magnesium Hardness,PO4-PO4,Chloride,Total Alkalinity
2010-10-05,8.22,1341.0,939.0,1.0,7.0,0.0,8.8,0.0,52.0,192.0,5.7,392.0,80.0
2010-10-06,8.08,1295.0,918.0,1.0,4.0,0.0,9.0,0.0,60.0,144.0,5.6,313.0,92.0
2010-10-07,8.39,1248.0,870.0,0.0,6.0,0.0,8.5,0.0,84.0,84.0,4.5,305.0,88.0
2010-10-08,8.05,1684.0,1201.0,0.0,12.0,0.0,10.4,0.0,92.0,92.0,5.8,410.0,84.0
2010-10-09,8.06,1541.0,1010.0,2.0,9.0,0.0,11.3,0.0,64.0,108.0,5.7,404.0,96.0
2010-10-10,7.91,1519.0,1059.0,1.0,4.0,0.0,10.9,0.0,60.0,96.0,6.2,385.0,100.0
2010-10-11,8.03,1655.0,1164.0,0.0,4.0,0.0,9.2,0.0,64.0,140.0,5.6,410.0,100.0
2010-10-12,8.14,1515.0,1066.0,1.0,6.0,0.0,7.9,0.0,60.0,120.0,5.5,429.0,72.0
2010-10-13,7.93,1552.0,1089.0,1.0,5.0,0.0,7.5,0.0,0.0,0.0,5.8,451.0,112.0
2010-10-14,7.92,1096.0,761.0,1.0,6.5,0.0,7.7,0.0,56.0,84.0,5.5,252.0,136.0
2010-10-15,7.86,1772.0,1251.0,0.0,8.0,0.0,6.3,0.0,72.0,108.0,5.7,443.0,108.0
2010-10-16,8.06,1766.0,1261.0,1.0,7.0,0.0,6.7,0.0,64.0,136.0,5.6,445.0,88.0
2010-10-17,8.02,1747.0,1241.0,1.0,5.0,0.0,5.9,0.0,68.0,88.0,5.7,461.0,88.0
2010-10-18,7.83,1620.0,1159.0,1.0,4.0,0.0,8.0,0.0,76.0,148.0,5.8,426.0,80.0
2010-10-19,7.76,1668.0,1186.0,0.0,5.0,0.0,7.6,0.0,72.0,140.0,5.9,426.0,84.0
2010-10-20,7.83,1669.0,1186.0,1.0,5.0,0.0,8.2,0.0,132.0,288.0,6.1,445.0,68.0
2010-10-21,7.76,1669.0,1187.0,4.0,12.0,0.0,7.5,0.0,148.0,240.0,6.4,422.0,72.0
2010-10-22,8.08,1272.0,1231.0,1.0,5.0,0.0,7.4,0.0,136.0,228.0,5.7,436.0,68.0
2010-10-23,7.69,1640.0,1165.0,1.0,3.0,0.0,6.3,0.0,140.0,208.0,5.9,418.0,72.0
2010-10-24,7.94,1545.0,1095.0,1.0,7.0,0.0,5.5,0.0,132.0,184.0,5.9,388.0,76.0
2010-10-25,7.93,1612.0,1148.0,0.0,9.0,0.0,5.7,0.0,120.0,208.0,6.0,412.0,72.0
2010-10-26,7.51,1517.0,1064.0,0.0,5.0,0.0,7.2,0.0,144.0,184.0,5.7,376.0,72.0
2010-10-27,7.16,1474.0,1022.0,0.0,6.0,0.0,6.0,0.0,124.0,176.0,5.4,376.0,72.0
2010-10-28,7.49,1563.0,1094.0,1.0,6.0,0.0,5.3,0.0,136.0,204.0,5.2,384.0,72.0
2010-10-29,7.3,1478.0,1041.0,0.0,4.0,0.0,6.1,0.0,132.0,248.0,5.0,378.0,72.0
2010-10-30,7.45,1469.0,1040.0,0.0,5.0,0.0,6.8,0.0,124.0,212.0,5.7,371.0,68.0
2010-10-31,7.32,1539.0,1092.0,1.0,6.0,0.0,5.6,0.0,144.0,208.0,4.8,390.0,64.0
2010-11-01,7.19,1514.0,1069.0,2.0,10.0,0.0,5.3,0.0,128.0,256.0,4.9,369.0,68.0
2010-11-02,7.07,1493.0,1056.0,0.0,11.0,0.0,6.0,0.0,140.0,184.0,5.0,371.0,72.0
2010-11-03,7.51,1400.0,1020.0,1.0,6.0,0.0,6.9,0.0,128.0,180.0,5.3,355.0,76.0
2010-11-04,8.25,1077.0,739.0,1.0,6.0,0.0,8.6,0.0,80.0,128.0,5.4,311.0,96.0
2010-11-05,7.49,1441.0,1013.0,1.0,7.0,0.0,6.4,0.0,72.0,88.0,5.0,343.0,80.0
2010-11-06,7.79,1370.0,957.0,1.0,6.0,0.0,5.9,0.0,66.0,124.0,5.2,333.0,72.0
2010-11-07,7.62,1455.0,1027.0,1.0,7.0,0.0,5.2,0.0,76.0,102.0,5.0,367.0,72.0
2010-11-08,7.74,1536.0,1084.0,0.0,8.0,0.0,5.0,0.0,72.0,90.0,5.3,371.0,76.0
2010-11-09,7.72,1580.0,1118.0,1.0,8.0,0.0,5.3,0.0,78.0,80.0,5.1,365.0,72.0
2010-11-10,7.22,1758.0,1258.0,1.0,6.0,0.0,5.4,0.0,40.0,50.0,5.1,447.0,72.0
2010-11-11,7.33,2096.0,1519.0,0.0,5.0,0.0,6.0,0.0,88.0,132.0,5.3,507.0,68.0
2010-11-12,7.13,2162.0,1565.0,1.0,6.0,0.0,5.6,0.0,72.0,160.0,5.3,575.0,72.0
2010-11-13,7.48,2298.0,1676.0,0.0,7.0,0.0,4.5,0.0,84.0,216.0,5.3,597.0,76.0
2010-11-14,7.42,2514.0,1853.0,1.0,5.0,0.0,4.0,0.0,96.0,160.0,4.8,683.0,76.0
2010-11-15,7.51,2414.0,1804.0,1.0,8.0,0.0,4.4,0.0,96.0,208.0,4.9,699.0,76.0
2010-11-16,7.68,1869.0,1328.0,1.0,6.0,0.0,5.6,0.0,84.0,204.0,5.7,477.0,76.0
2010-11-17,7.68,1869.0,1328.0,1.0,6.0,0.0,5.6,0.0,84.0,204.0,5.7,477.0,76.0
2010-11-18,7.47,1881.0,1359.0,1.0,9.0,0.0,5.7,0.0,34.0,190.0,5.9,479.0,68.0
2010-11-19,,,,,,,,,,,,,
2010-11-20,,,,,,,,,,,,,
2010-11-21,8.01,1660.0,1188.0,0.0,10.0,0.0,8.4,0.0,36.0,130.0,6.5,398.0,76.0
2010-11-22,7.69,1464.0,1038.0,1.0,22.0,0.0,11.7,0.0,32.0,58.0,6.6,343.0,80.0
2010-11-23,7.8,1684.0,1207.0,1.0,4.0,0.0,11.6,0.0,32.0,64.0,6.6,394.0,76.0
2010-11-24,7.67,1696.0,1225.0,0.0,11.0,0.0,10.8,0.0,34.0,72.0,6.4,380.0,76.0
2010-11-25,7.95,1564.0,1114.0,0.0,10.0,0.0,10.5,0.0,34.0,124.0,6.2,363.0,76.0
2010-11-26,7.73,1515.0,1078.0,1.0,6.0,0.0,10.5,0.0,24.0,58.0,6.4,369.0,76.0
2010-11-27,7.78,1503.0,1067.0,1.0,8.0,0.0,11.8,0.0,36.0,72.0,6.3,355.0,76.0
2010-11-28,7.98,1518.0,1078.0,0.0,10.0,0.0,12.2,0.0,36.0,46.0,6.4,361.0,76.0
2010-11-29,7.77,1468.0,1039.0,0.0,9.0,0.0,9.9,0.0,38.0,64.0,6.3,341.0,76.0
2010-11-30,7.98,1485.0,1038.0,1.0,9.0,0.0,11.5,0.0,34.0,52.0,6.1,340.0,80.0
2010-12-01,7.58,1492.0,1054.0,1.0,9.0,0.0,8.1,0.0,34.0,58.0,6.1,354.0,76.0
2010-12-02,7.98,1470.0,1042.0,4.0,12.0,0.0,11.6,0.0,38.0,42.0,6.4,350.0,84.0
2010-12-03,7.9,1444.0,1022.0,1.0,9.0,0.0,12.0,0.0,44.0,56.0,6.3,354.0,84.0
2010-12-04,7.84,1479.0,1045.0,1.0,8.0,0.0,11.1,0.0,40.0,84.0,6.9,362.0,84.0
2010-12-05,8.1,1511.0,1072.0,1.0,7.0,0.0,10.0,0.0,42.0,60.0,6.7,159.0,84.0
2010-12-06,8.14,1498.0,1061.0,0.0,8.0,0.0,8.5,0.0,42.0,44.0,6.6,346.0,92.0
2010-12-07,7.21,1507.0,1071.0,1.0,6.0,0.0,9.2,0.0,38.0,80.0,6.9,352.0,88.0
2010-12-08,7.7,1420.0,1003.0,1.0,7.0,0.0,9.2,0.0,36.0,50.0,6.9,346.0,84.0
2010-12-09,7.88,1462.0,1036.0,0.0,6.0,0.0,9.8,0.0,40.0,40.0,7.0,356.0,84.0
2010-12-10,7.88,1495.0,1061.0,1.0,6.0,0.0,6.8,0.0,42.0,40.0,6.7,374.0,84.0
2010-12-11,8.25,1462.0,1037.0,2.0,5.0,0.0,6.3,0.0,40.0,42.0,6.3,358.0,92.0
2010-12-12,7.85,1493.0,1060.0,1.0,5.0,0.0,5.0,0.0,64.0,84.0,6.0,366.0,96.0
2010-12-13,7.88,1537.0,1095.0,1.0,7.0,0.0,4.7,0.0,80.0,112.0,6.3,386.0,88.0
2010-12-14,7.82,1585.0,1131.0,0.0,7.0,0.0,7.5,0.0,92.0,80.0,6.6,412.0,80.0
2010-12-15,7.74,1508.0,1074.0,0.0,5.0,0.0,8.2,0.0,72.0,124.0,7.1,376.0,80.0
2010-12-16,7.91,1309.0,922.0,1.0,6.0,0.0,11.3,0.0,80.0,72.0,7.6,304.0,72.0
2010-12-17,7.77,1084.0,766.0,1.0,6.0,0.0,15.1,0.0,72.0,100.0,8.0,238.0,68.0
2010-12-18,7.92,1161.0,824.0,0.0,7.0,0.0,15.6,0.0,40.0,44.0,7.9,268.0,64.0
2010-12-19,7.81,1168.0,825.0,1.0,7.0,0.0,16.4,0.0,92.0,56.0,7.6,325.0,88.0
2010-12-20,7.79,1008.0,708.0,0.0,6.0,0.0,16.7,0.0,80.0,60.0,7.4,229.0,68.0
2010-12-21,7.76,1210.0,855.0,1.0,7.0,0.0,16.1,0.0,72.0,92.0,7.4,278.0,80.0
2010-12-22,7.66,1308.0,925.0,1.0,7.0,0.0,15.5,0.0,84.0,104.0,7.3,311.0,76.0
2010-12-23,7.89,1431.0,1016.0,2.0,6.0,0.0,17.6,0.0,88.0,88.0,7.6,326.0,64.0
2010-12-24,7.56,1355.0,959.0,1.0,5.0,0.0,19.7,0.0,76.0,104.0,7.0,307.0,60.0
2010-12-25,7.82,1508.0,1076.0,0.0,6.0,0.0,17.9,0.0,84.0,92.0,7.2,354.0,64.0
2010-12-26,7.92,1557.0,1115.0,2.0,7.0,0.0,15.8,0.0,76.0,116.0,7.1,371.0,64.0
2010-12-27,,,,,,,,,,,,,
2010-12-28,7.68,1460.0,1044.0,0.0,7.0,0.0,17.8,0.0,80.0,124.0,6.9,354.0,64.0
2010-12-29,7.66,1442.0,1024.0,0.0,7.0,0.0,23.5,0.0,80.0,116.0,6.8,346.0,60.0
2010-12-30,7.95,1284.0,912.0,1.0,8.0,0.0,20.3,0.0,76.0,104.0,6.7,297.0,60.0
2010-12-31,8.06,1253.0,888.0,1.0,7.0,0.0,16.0,0.0,76.0,88.0,6.6,285.0,64.0
2011-01-01,7.79,1280.0,899.0,0.0,6.0,0.0,15.9,0.0,92.0,76.0,5.7,293.0,68.0
2011-01-02,8.13,1252.0,869.0,0.0,11.0,0.0,14.8,0.0,92.0,80.0,5.4,283.0,68.0
2011-01-03,7.78,1181.0,828.0,1.0,7.0,0.0,14.2,0.0,80.0,72.0,5.3,283.0,68.0
2011-01-04,7.77,1185.0,829.0,0.0,6.0,0.0,13.9,0.0,88.0,80.0,5.5,258.0,64.0
2011-01-05,7.69,1151.0,805.0,1.0,6.0,0.0,14.1,0.0,92.0,80.0,5.4,253.0,68.0
2011-01-06,7.78,1152.0,807.0,1.0,5.0,0.0,14.4,0.0,92.0,88.0,5.4,260.0,64.0
2011-01-07,7.7,1107.0,773.0,1.0,8.0,0.0,13.5,0.0,92.0,96.0,6.9,249.0,68.0
2011-01-08,7.71,1047.0,730.0,1.0,7.0,0.0,11.6,0.0,80.0,68.0,5.7,231.0,72.0
2011-01-09,7.82,1026.0,716.0,0.0,10.0,0.0,9.5,0.0,84.0,96.0,5.4,225.0,72.0
2011-01-10,7.58,998.0,693.0,0.0,5.0,0.0,9.8,0.0,84.0,76.0,5.7,221.0,72.0
2011-01-11,7.55,987.0,688.0,0.0,7.0,0.0,11.3,0.0,96.0,92.0,5.6,221.0,72.0
2011-01-12,7.51,983.0,684.0,1.0,6.0,0.0,9.1,8.6,88.0,96.0,5.7,225.0,72.0
2011-01-13,7.52,1021.0,712.0,0.0,11.0,0.0,12.1,11.4,80.0,132.0,5.8,225.0,72.0
2011-01-14,7.61,1002.0,694.0,0.0,7.0,0.0,11.6,8.6,88.0,96.0,5.9,218.0,80.0
2011-01-15,7.49,1022.0,709.0,1.0,5.0,0.0,11.0,5.7,84.0,112.0,6.0,231.0,76.0
2011-01-16,7.56,1009.0,704.0,0.0,6.0,0.0,9.5,0.0,80.0,100.0,5.4,225.0,84.0
2011-01-17,7.45,1062.0,742.0,1.0,4.0,0.0,9.1,8.6,76.0,136.0,4.9,241.0,84.0
